ingredient,skin_type,label
Beta Vulgaris Root Extract,복합성,NORMAL
Cassia Alata Leaf Extract,건성,NORMAL
Cassia Alata Leaf Extract,지성,NORMAL
Cassia Alata Leaf Extract,복합성,NORMAL
Tromethamine,건성,NORMAL
Tromethamine,지성,NORMAL
Tromethamine,복합성,NORMAL
Acetic Acid,건성,CAUTION
Acetic Acid,지성,NORMAL
Acetic Acid,복합성,CAUTION
Hexapeptide-9,건성,NORMAL
Hexapeptide-9,지성,NORMAL
Hexapeptide-9,복합성,NORMAL
Methylisothiazolinone,건성,NORMAL
Methylisothiazolinone,지성,NORMAL
Methylisothiazolinone,복합성,NORMAL
"1,2-Hexanediol",건성,GOOD
"1,2-Hexanediol",지성,NORMAL
"1,2-Hexanediol",복합성,NORMAL
Ci 19140,건성,NORMAL
Ci 19140,지성,NORMAL
Ci 19140,복합성,NORMAL
Raffinose,건성,GOOD
Raffinose,지성,NORMAL
Raffinose,복합성,NORMAL
Ci 42090,건성,NORMAL
Ci 42090,지성,NORMAL
Ci 42090,복합성,NORMAL
Ascorbyl Palmitate,건성,NORMAL
Ascorbyl Palmitate,지성,NORMAL
Ascorbyl Palmitate,복합성,NORMAL
Lactobacillus/?Pumpkin Ferment Extract,건성,CAUTION
Lactobacillus/?Pumpkin Ferment Extract,지성,GOOD
Lactobacillus/?Pumpkin Ferment Extract,복합성,CAUTION
Benzyl Benzoate,건성,CAUTION
Benzyl Benzoate,지성,CAUTION
Benzyl Benzoate,복합성,CAUTION
Hydroxycitronellal,건성,CAUTION
Hydroxycitronellal,지성,CAUTION
Hydroxycitronellal,복합성,CAUTION
Chondrus Crispus Extract,건성,GOOD
Chondrus Crispus Extract,지성,NORMAL
Chondrus Crispus Extract,복합성,NORMAL
Lactobacillus/?Punica Granatum Fruit Ferment Extract,건성,NORMAL
Lactobacillus/?Punica Granatum Fruit Ferment Extract,지성,GOOD
Lactobacillus/?Punica Granatum Fruit Ferment Extract,복합성,NORMAL
Hydrolyzed Wheat Protein,건성,CAUTION
Hydrolyzed Wheat Protein,지성,NORMAL
Hydrolyzed Wheat Protein,복합성,NORMAL
Caprylhydroxamic Acid,건성,NORMAL
Caprylhydroxamic Acid,지성,NORMAL
Caprylhydroxamic Acid,복합성,NORMAL
Glutamylamidoethyl Imidazole,건성,NORMAL
Glutamylamidoethyl Imidazole,지성,NORMAL
Glutamylamidoethyl Imidazole,복합성,NORMAL
Tetrahydrodiferuloylmethane,건성,NORMAL
Tetrahydrodiferuloylmethane,지성,NORMAL
Tetrahydrodiferuloylmethane,복합성,NORMAL
Tetrahydrobisdemethoxydiferuloylmethane,건성,NORMAL
Tetrahydrobisdemethoxydiferuloylmethane,지성,NORMAL
Tetrahydrobisdemethoxydiferuloylmethane,복합성,NORMAL
Tetrahydrodemethoxydiferuloylmethane,건성,NORMAL
